BBB,borough_code,block_number,lot_number,tax_year,owner_name,property_address,granted_reduction_amount,tax_class_code,BBB_test
1-7-29,1,7,29,2017,SONS OF THE REVOLUTIO,26 WATER STREET,34950.0,4,1-7-29
1-7-29,1,7,29,2018,SONS OF THE REVOLUTIO,26 WATER STREET,23300.0,4,1-7-29
1-7-30,1,7,30,2017,SONS OF THE REVOLUTIO,24 WATER STREET,55550.0,4,1-7-30
1-7-30,1,7,30,2018,SONS OF THE REVOLUTIO,24 WATER STREET,36850.0,4,1-7-30
1-7-31,1,7,31,2017,FASHION MANAGMENT COR,105 BROAD STREET,59450.0,4,1-7-31
1-7-33,1,7,33,2017,SONS OF THE REVOLUTIO,101 BROAD STREET,77250.0,4,1-7-33
1-7-33,1,7,33,2018,SONS OF THE REVOLUTIO,101 BROAD STREET,49000.0,4,1-7-33
1-7-35,1,7,35,2017,SONS OF THE REVOLUTIO,99 BROAD STREET,77250.0,4,1-7-35
1-7-35,1,7,35,2018,SONS OF THE REVOLUTIO,99 BROAD STREET,50900.0,4,1-7-35
1-7-37,1,7,37,2017,SONS OF THE REVOLUTIO,58 PEARL STREET,78150.0,4,1-7-37
1-7-37,1,7,37,2018,SONS OF THE REVOLUTIO,58 PEARL STREET,51700.0,4,1-7-37
1-9-14,1,9,14,2018,17 STATE OWNER LLC,17 STATE STREET,2406250.0,4,1-9-14
1-9-29,1,9,29,2018,THE STATE - WHITEHALL,24 STATE STREET,9528500.0,4,1-9-29
1-10-14,1,10,14,2018,BROAD FINANCIAL CENTE,33 WHITEHALL STREET,1755500.0,4,1-10-14
1-10-15,1,10,15,2018,MSA TWINS LTD,27 WHITEHALL STREET,92350.0,4,1-10-15
1-10-33,1,10,33,2018,AL STONE GROUND TENAN,8 STONE STREET,2158050.0,4,1-10-33
1-11-11,1,11,11,2018,VERVELIS INC.,22 BEAVER STREET,65150.0,4,1-11-11
1-11-12,1,11,12,2018,24 BEAVER STREET LLC,24 BEAVER STREET,124650.0,4,1-11-12
1-16-180,1,16,180,2018,RIVER TERRACE ASSOCIA,20 RIVER TERRACE,2407100.0,2,1-16-180
1-16-185,1,16,185,2018,NORTH END ASSOCIATES,211 NORTH END AVENUE,2185050.0,2,1-16-185
1-16-195,1,16,195,2018,"TRIBECA GREEN, L.L.C.",325 NORTH END AVENUE,988300.0,2,1-16-195
1-16-205,1,16,205,2018,BROOKDALE LIVING COMM,455 NORTH END AVENUE,3055450.0,2,1-16-205
1-16-1301,1,16,1301,2017,"GS SITE 25 HOTEL, LLC",102 NORTH END AVENUE,3258600.0,4,1-16-1301
1-16-1301,1,16,1301,2018,"GS SITE 25 HOTEL, LLC",102 NORTH END AVENUE,4113600.0,4,1-16-1301
1-16-2402,1,16,2402,2018,HUDSON VIEW WEST COND,300 ALBANY STREET,8141.0,2,1-16-2402
1-16-2602,1,16,2602,2018,LIBERTY TERRACE CONDO,380 RECTOR PLACE,29852.0,2,1-16-2602
1-16-3002,1,16,3002,2018,THE SOUNDINGS,280 RECTOR PLACE,4374.0,2,1-16-3002
1-16-8001,1,16,8001,2017,COVE CLUB CAR PARK LL,2 SOUTH END AVENUE,208900.0,4,1-16-8001
1-16-8001,1,16,8001,2018,COVE CLUB CAR PARK LL,2 SOUTH END AVENUE,299350.0,4,1-16-8001
1-18-1002,1,18,1002,2017,GREENWICH CLUB RESIDE,88 GREENWICH STREET,4083.0,2,1-18-1002
1-18-1002,1,18,1002,2018,GREENWICH CLUB RESIDE,88 GREENWICH STREET,4835.0,2,1-18-1002
1-19-21,1,19,21,2018,"11 RECTOR STREET,  LL",87 GREENWICH STREET,52400.0,4,1-19-21
1-20-9,1,20,9,2018,45 BROADWAY LLC,45 BROADWAY,1298750.0,4,1-20-9
1-20-13,1,20,13,2017,STAHL MIDTOWN PROPERT,49 BROADWAY,219400.0,4,1-20-13
1-20-13,1,20,13,2018,STAHL MIDTOWN PROPERT,49 BROADWAY,185600.0,4,1-20-13
1-21-1,1,21,1,2018,RXR 61 BROADWAY OWNER,61 BROADWAY,2825850.0,4,1-21-1
1-21-4,1,21,4,2017,65 BROADWAY OWNER LLC,65 BROADWAY,1304850.0,4,1-21-4
1-21-6,1,21,6,2018,"EQR - 71 BROADWAY, LL",71 BROADWAY,1162750.0,2,1-21-6
1-22-20,1,22,20,2018,"32-42 BROADWAY OWNER,",42 BROADWAY,1093800.0,4,1-22-20
1-25-10,1,25,10,2018,WALWILHAL ASSOCIATES,41 BROAD STREET,1366100.0,4,1-25-10
1-25-19,1,25,19,2018,25 BROAD STREET L/CAL,25 BROAD STREET,4231750.0,2,1-25-19
1-25-27,1,25,27,2018,40 X OWNER LLC,40 EXCHANGE PLACE,1331250.0,4,1-25-27
1-25-1722,1,25,1722,2018,15 WILLIAM PARKING LL,15 WILLIAM STREET,340300.0,4,1-25-1722
1-27-9,1,27,9,2018,"63 WALL STREET OWNER,",63 WALL STREET,1582150.0,2,1-27-9
1-27-1201,1,27,1201,2018,RBNB 20 OWNER LLC,20 EXCHANGE PLACE,7862700.0,2,1-27-1201
1-27-1203,1,27,1203,2018,RBNB 20 OWNER LLC,20 EXCHANGE PLACE,6387750.0,2,1-27-1203
1-28-1,1,28,1,2018,3 HANOVER SQUARE OWNE,3 HANOVER SQUARE,1300700.0,2,1-28-1
1-28-12,1,28,12,2018,11 HANOVER SQUARE COR,76 BEAVER STREET,297150.0,4,1-28-12
1-28-1001,1,28,1001,2018,THE COCOA EXCHANGE CO,82 BEAVER STREET,44295.0,4,1-28-1001
1-29-22,1,29,22,2018,HVW ASSOCIATES LLC,77 PEARL STREET,44050.0,4,1-29-22
1-29-24,1,29,24,2018,"LOUISE PROPERTIES, IN",81 PEARL STREET,30650.0,4,1-29-24
1-29-43,1,29,43,2018,SOUTH WILLIAM STREET,9 SOUTH WILLIAM STREE,1000000.0,4,1-29-43
1-29-70,1,29,70,2018,"75 BROAD, L.L.C.",75 BROAD STREET,7382050.0,4,1-29-70
1-29-1101,1,29,1101,2017,"INDIA HOUSE, INC",1 HANOVER SQUARE,207978.0,4,1-29-1101
1-29-1101,1,29,1101,2018,"INDIA HOUSE, INC",1 HANOVER SQUARE,827985.0,4,1-29-1101
1-29-1201,1,29,1201,2017,STONE STREET PARTNERS,21 SOUTH WILLIAM STRE,35950.0,4,1-29-1201
1-29-1201,1,29,1201,2018,STONE STREET PARTNERS,21 SOUTH WILLIAM STRE,39550.0,4,1-29-1201
1-30-19,1,30,19,2018,SEVEN HANOVER ASSOCIA,7 HANOVER SQUARE,10365000.0,4,1-30-19
1-31-1,1,31,1,2017,UDR 10 HANOVER LLC,10 HANOVER SQUARE,4314300.0,2,1-31-1
1-31-1,1,31,1,2018,UDR 10 HANOVER LLC,10 HANOVER SQUARE,6691650.0,2,1-31-1
1-31-1350,1,31,1350,2018,75 WALL STREET ASSOCI,75 WALL STREET,81553.0,4,1-31-1350
1-33-11,1,33,11,2018,NINETY FIVE WALL STRE,95 WALL STREET,2815250.0,2,1-33-11
1-33-1004,1,33,1004,2018,101 WALL CONDOMINIUM,101 WALL STREET,74522.0,2,1-33-1004
1-35-1,1,35,1,2018,RXR 32 OLD SLIP OWNER,77 FRONT STREET,16173700.0,4,1-35-1
1-38-1,1,38,1,2018,100 WALL INVESTMENTS,100 WALL STREET,1063350.0,4,1-38-1
1-39-1002,1,39,1002,2018,SEAPORT SOUTH CONDOMI,164 PEARL STREET,24361.0,2,1-39-1002
1-40-16,1,40,16,2018,SCCQ DOWNTOWN LLC,52 WILLIAM STREET,615150.0,4,1-40-16
1-41-1202,1,41,1202,2018,56 PINE STREET CONDOM,56 PINE STREET,18540.0,2,1-41-1202
1-41-1301,1,41,1301,2017,EBRA 70 PINE MASTER T,66 PINE STREET,35953700.0,2,1-41-1301
1-41-1301,1,41,1301,2018,EBRA 70 PINE MASTER T,66 PINE STREET,41959000.0,2,1-41-1301
1-42-1,1,42,1,2017,MAIDEN LANE PROPERTIE,100 MAIDEN LANE,3034350.0,2,1-42-1
1-42-1,1,42,1,2018,MAIDEN LANE PROPERTIE,100 MAIDEN LANE,4053150.0,2,1-42-1
1-44-1,1,44,1,2017,SUMMIT GLORY PROPERTY,28 LIBERTY STREET,8623850.0,4,1-44-1
1-44-1,1,44,1,2018,SUMMIT GLORY PROPERTY,28 LIBERTY STREET,15005800.0,4,1-44-1
1-46-3,1,46,3,2018,NW 100 BROADWAY PROPE,100 BROADWAY,2663150.0,4,1-46-3
1-47-1001,1,47,1001,2017,120 BROADWAY HOLDINGS,120 BROADWAY,3430400.0,4,1-47-1001
1-47-1001,1,47,1001,2018,120 BROADWAY HOLDINGS,120 BROADWAY,6012950.0,4,1-47-1001
1-52-1113,1,52,1113,2018,JAMES SULLIVAN,119 CEDAR STREET,278553.0,2,1-52-1113
1-53-1202,1,53,1202,2018,123 WASHINGTON LLC,123 WASHINGTON STREET,520000.0,4,1-53-1202
1-56-1,1,56,1,2017,CEDAR & WASHINGTON AS,140 WASHINGTON STREET,1006050.0,4,1-56-1
1-56-1,1,56,1,2018,CEDAR & WASHINGTON AS,140 WASHINGTON STREET,2987850.0,4,1-56-1
1-62-1001,1,62,1001,2017,BROOKFIELD PROPERTIES,1 LIBERTY PLAZA,7829730.0,4,1-62-1001
1-62-1001,1,62,1001,2018,BROOKFIELD PROPERTIES,1 LIBERTY PLAZA,16420600.0,4,1-62-1001
1-64-2,1,64,2,2018,22 MAIDEN LANE LLC,22 MAIDEN LANE,42650.0,4,1-64-2
1-64-12,1,64,12,2018,150 BROADWAY NY ASSOC,150 BROADWAY,1972650.0,4,1-64-12
1-64-15,1,64,15,2018,DAROR ASSOCIATES,160 BROADWAY,569000.0,4,1-64-15
1-64-1003,1,64,1003,2017,67 LIBERTY STREET CON,67 LIBERTY STREET,22251.0,2,1-64-1003
1-64-1003,1,64,1003,2018,67 LIBERTY STREET CON,67 LIBERTY STREET,11247.0,2,1-64-1003
1-65-2,1,65,2,2018,BBL 1-65-2 LLC,63 NASSAU STREET,69800.0,4,1-65-2
1-65-16,1,65,16,2018,174 BROADWAY LLC,174 BROADWAY,404450.0,4,1-65-16
1-65-1001,1,65,1001,2018,65 NASSAU OWNERS CORP,65 NASSAU STREET,362850.0,2,1-65-1001
1-67-23,1,67,23,2018,MAIDEN & NASSAU LLC,56 NASSAU STREET,6368500.0,4,1-67-23
1-68-36,1,68,36,2017,JOHN HANCOCK LIFE & H,100 WILLIAM STREET,2073150.0,4,1-68-36
1-68-36,1,68,36,2018,JOHN HANCOCK LIFE & H,100 WILLIAM STREET,982350.0,4,1-68-36
1-68-1004,1,68,1004,2018,THE SOUTH STAR CONDOM,80 JOHN STREET,5800.0,2,1-68-1004
1-69-6,1,69,6,2018,201 PEARL LLC,211 PEARL STREET,2718150.0,2,1-69-6
1-69-18,1,69,18,2018,2 GOLD LLC,2 GOLD STREET,6027600.0,2,1-69-18
1-69-32,1,69,32,2017,116 FEE OWNER LLC,116 JOHN STREET,1876750.0,2,1-69-32
1-69-32,1,69,32,2018,116 FEE OWNER LLC,116 JOHN STREET,5491150.0,2,1-69-32
1-69-1102,1,69,1102,2017,"MAZAL GROUP, A LIMITE",90 JOHN STREET,2156100.0,2,1-69-1102
1-69-1102,1,69,1102,2018,"MAZAL GROUP, A LIMITE",90 JOHN STREET,2941350.0,2,1-69-1102
1-72-25,1,72,25,2017,NYC MEDIA LLC,87 SOUTH STREET,144200.0,4,1-72-25
1-72-25,1,72,25,2018,NYC MEDIA LLC,87 SOUTH STREET,468200.0,4,1-72-25
1-72-1001,1,72,1001,2017,PJC 170 JOHN COMMERCI,170 JOHN STREET,82150.0,4,1-72-1001
1-72-1001,1,72,1001,2018,PJC 170 JOHN COMMERCI,170 JOHN STREET,86650.0,4,1-72-1001
1-72-1002,1,72,1002,2017,THE SHIP'S CHANDLERY,170 JOHN STREET,8030.0,2,1-72-1002
1-72-1002,1,72,1002,2018,THE SHIP'S CHANDLERY,170 JOHN STREET,6136.0,2,1-72-1002
1-75-21,1,75,21,2017,"40 FULTON STREET, LLC",40 FULTON STREET,1963050.0,4,1-75-21
1-75-30,1,75,30,2018,111 JOHN REALTY CORP.,111 JOHN STREET,527950.0,4,1-75-30
1-75-35,1,75,35,2018,PEARL STREET PARKING,248 PEARL STREET,386900.0,4,1-75-35
1-75-1011,1,75,1011,2017,BELCOO CORP,28 CLIFF STREET,37500.0,2C,1-75-1011
1-75-1011,1,75,1011,2018,BELCOO CORP,28 CLIFF STREET,19500.0,2C,1-75-1011
1-76-1,1,76,1,2018,COUNTRY CLUB RECOVERY,64 FULTON STREET,376150.0,4,1-76-1
1-78-43,1,78,43,2018,90 NASSAU STREET LLC,90 NASSAU STREET,235550.0,2,1-78-43
1-78-1201,1,78,1201,2017,NASSAU STREET EQUITIE,80 NASSAU STREET,44619.0,2,1-78-1201
1-78-1201,1,78,1201,2018,NASSAU STREET EQUITIE,80 NASSAU STREET,124295.0,2,1-78-1201
1-78-1601,1,78,1601,2018,59 JOHN COMMERCIAL LL,59 JOHN STREET,246950.0,4,1-78-1601
1-78-1602,1,78,1602,2017,FIVE NINE JOHN LOFTS,59 JOHN STREET,9900.0,2,1-78-1602
1-78-1602,1,78,1602,2018,FIVE NINE JOHN LOFTS,59 JOHN STREET,12044.0,2,1-78-1602
1-78-1901,1,78,1901,2018,110 FULTON HOLDINGS L,110 FULTON STREET,69050.0,4,1-78-1901
1-79-1102,1,79,1102,2018,THE CROFT BUILDING CO,71 NASSAU STREET,26640.0,2,1-79-1102
1-79-1222,1,79,1222,2018,BEWAY REALTY LLC,130 FULTON STREET,190025.0,4,1-79-1222
1-80-4,1,80,4,2018,CDL (NEW YORK) LIMITE,55 CHURCH STREET,1760000.0,4,1-80-4
1-89-2,1,89,2,2018,EMPIRE DYNASTY REALTY,141 FULTON STREET,175190.0,4,1-89-2
1-90-22,1,90,22,2018,19 ANN ST. LLC,19 ANN STREET,117900.0,4,1-90-22
1-90-1002,1,90,1002,2018,J & D APTS LLC,15 PARK ROW,1195140.0,2,1-90-1002
1-90-1003,1,90,1003,2018,CUPOLA APTS. LLC,15 PARK ROW,114250.0,2,1-90-1003
1-90-1101,1,90,1101,2018,THE EDGAR HOUSE CONDO,105 NASSAU STREET,15687.0,2C,1-90-1101
1-90-1203,1,90,1203,2018,BOARD OF MANAGERS OF,115 NASSAU STREET,24165.0,2,1-90-1203
1-91-1102,1,91,1102,2018,THE FULTONHAUS CONDOM,119 FULTON STREET,20865.0,2,1-91-1102
1-92-17,1,92,17,2018,47 ANN STREET ASSOCIA,47 ANN STREET,203150.0,2,1-92-17
1-92-24,1,92,24,2018,ABACUS FEDERAL SAVING,116 NASSAU STREET,815600.0,4,1-92-24
1-100-1001,1,100,1001,2018,THE BRAUSER GROUP #1,150 NASSAU STREET,247400.0,4,1-100-1001
1-100-1201,1,100,1201,2018,FC 8 SPRUCE STREET RE,8 SPRUCE STREET,3949350.0,2,1-100-1201
1-107-28,1,107,28,2018,"FRONT APARTMENTS, LLC",254 FRONT STREET,263700.0,2,1-107-28
1-107-31,1,107,31,2018,252 FRONT ST LLC,252 FRONT STREET,46050.0,4,1-107-31
1-113-1002,1,113,1002,2017,.VERIZON NEW YORK INC,375 PEARL STREET,104473.0,4,1-113-1002
1-113-1005,1,113,1005,2017,.VERIZON NEW YORK INC,375 PEARL STREET,126481.0,4,1-113-1005
1-113-1005,1,113,1005,2018,.VERIZON NEW YORK INC,375 PEARL STREET,58780.0,4,1-113-1005
1-124-8,1,124,8,2018,"ABN REALTY, LLC",19 PARK PLACE,509250.0,2,1-124-8
1-124-12,1,124,12,2018,27 PARK PLACE LLC,111 CHURCH STREET,393520.0,4,1-124-12
1-124-24,1,124,24,2018,250 BROADWAY ASSOCIAT,250 BROADWAY,3368800.0,4,1-124-24
1-125-20,1,125,20,2017,100 CHURCH FEE OWNER,50 PARK PLACE,1487350.0,4,1-125-20
1-125-20,1,125,20,2018,100 CHURCH FEE OWNER,50 PARK PLACE,3481300.0,4,1-125-20
1-126-27,1,126,27,2017,50 MURRAY STREET ACQU,120 CHURCH STREET,4311350.0,2,1-126-27
1-126-27,1,126,27,2018,50 MURRAY STREET ACQU,120 CHURCH STREET,4600700.0,2,1-126-27
1-132-1,1,132,1,2018,WESTBROAD COMPANY LLC,65 MURRAY STREET,292850.0,4,1-132-1
1-132-6,1,132,6,2018,BOGARDUS LLC,75 MURRAY STREET,67250.0,4,1-132-6
1-132-1002,1,132,1002,2018,GREENWICH COURT CONDO,275 GREENWICH STREET,8190.0,2,1-132-1002
1-133-1501,1,133,1501,2018,"51 WARREN RETAIL, LLC",49 WARREN STREET,210956.0,4,1-133-1501
1-133-2001,1,133,2001,2017,WARREN LOFTS CONDOMIN,37 WARREN STREET,50534.0,2,1-133-2001
1-133-2001,1,133,2001,2018,WARREN LOFTS CONDOMIN,37 WARREN STREET,62690.0,2,1-133-2001
1-135-12,1,135,12,2018,ZLOT REALTY CORPORATI,28 WARREN STREET,86050.0,4,1-135-12
1-135-1001,1,135,1001,2017,PRINCE STREET LLC,260 BROADWAY,600600.0,4,1-135-1001
1-135-1001,1,135,1001,2018,PRINCE STREET LLC,260 BROADWAY,918750.0,4,1-135-1001
1-135-1301,1,135,1301,2017,TERSTE REALTY CORP.,8 WARREN STREET,357950.0,4,1-135-1301
1-135-1301,1,135,1301,2018,TERSTE REALTY CORP.,8 WARREN STREET,338600.0,4,1-135-1301
1-135-1302,1,135,1302,2018,THE TRINITY STEWART C,8 WARREN STREET,37216.0,2,1-135-1302
1-136-1102,1,136,1102,2018,"JEM ASSOCIATES, LLC",38 WARREN STREET,158773.0,4,1-136-1102
1-136-1403,1,136,1403,2018,85 WEST BROADWAY COND,85 WEST BROADWAY,3357.0,2,1-136-1403
1-137-10,1,137,10,2018,86-90 WARREN ST. LLC,86 WARREN STREET,279850.0,4,1-137-10
1-137-1002,1,137,1002,2018,GREENWICH COURT CONDO,295 GREENWICH STREET,8445.0,2,1-137-1002
1-140-5,1,140,5,2018,ALMARK HOLDING CO.,121 READE STREET,1099250.0,2,1-140-5
1-140-1006,1,140,1006,2017,THE TRIBECA,303 GREENWICH STREET,13963.0,2,1-140-1006
1-140-1006,1,140,1006,2018,THE TRIBECA,303 GREENWICH STREET,6868.0,2,1-140-1006
1-140-1102,1,140,1102,2018,READE HOUSE CONDOMINI,311 GREENWICH STREET,18040.0,2,1-140-1102
1-140-1201,1,140,1201,2018,JEFFREY A. TABAK,137 READE STREET,62774.0,4,1-140-1201
1-140-1203,1,140,1203,2018,READE MANHATTAN LLC,141 READE STREET,236154.0,4,1-140-1203
1-140-1204,1,140,1204,2018,THE BYRON EUGENE LEWI,143 READE STREET,16505.0,4,1-140-1204
1-141-1,1,141,1,2018,GUN SOO YOUN,126 READE STREET,461850.0,4,1-141-1
1-141-2,1,141,2,2018,134 READE ST. LLC,134 READE STREET,100000.0,4,1-141-2
1-141-28,1,141,28,2017,172 DUANE STREET REAL,172 DUANE STREET,52800.0,4,1-141-28
1-141-1103,1,141,1103,2017,EQUITY CONCEPTS LIMIT,184 DUANE STREET,20338.0,4,1-141-1103
1-142-1002,1,142,1002,2017,THE RESIDENTIAL BOARD,99 WARREN STREET,78603.0,2,1-142-1002
1-142-1101,1,142,1101,2017,"200 CHAMBERS, LLC",200 CHAMBERS STREET,93900.0,4,1-142-1101
1-142-1101,1,142,1101,2018,"200 CHAMBERS, LLC",200 CHAMBERS STREET,256800.0,4,1-142-1101
1-142-1504,1,142,1504,2018,270 GREENWICH STREET,270 GREENWICH STREET,267200.0,4,1-142-1504
1-142-1505,1,142,1505,2018,270 GREENWICH STREET,270 GREENWICH STREET,201900.0,4,1-142-1505
1-143-1,1,143,1,2018,"DUANE PARK LOFTS, INC",47 HUDSON STREET,815850.0,2,1-143-1
1-143-4,1,143,4,2018,TRIBECA OWNERS CORP.,55 HUDSON STREET,1340850.0,2,1-143-4
1-143-9,1,143,9,2018,173 DUANE STREET CORP,173 DUANE STREET,258250.0,2,1-143-9
1-143-21,1,143,21,2018,HANOVER RIVER HOUSE I,335 GREENWICH STREET,579600.0,2,1-143-21
1-143-1103,1,143,1103,2018,DUANE STREET ISLAND C,177 DUANE STREET,120700.0,2,1-143-1103
1-144-40,1,144,40,2018,"60 HUDSON OWNER, LLC",56 HUDSON STREET,7900450.0,4,1-144-40
1-146-23,1,146,23,2017,"5444 ASSOCIATES, L.P.",130 DUANE STREET,200300.0,4,1-146-23
1-146-23,1,146,23,2018,"5444 ASSOCIATES, L.P.",130 DUANE STREET,255000.0,4,1-146-23
1-146-1001,1,146,1001,2018,TRIBECA THUNDER CORP.,100 READE STREET,222931.0,4,1-146-1001
1-146-1101,1,146,1101,2018,DUANE VENTURES INC.,150 DUANE STREET,93200.0,4,1-146-1101
1-147-1706,1,147,1706,2018,DIAMOND ON DUANE COND,137 DUANE STREET,8566.0,2,1-147-1706
1-148-10,1,148,10,2018,LITTLE 40 WORTH ASSOC,71 THOMAS STREET,1733750.0,4,1-148-10
1-149-1201,1,149,1201,2018,THE READE CHAMBERS CO,71 READE STREET,20146.0,2,1-149-1201
1-150-10,1,150,10,2018,READE STREET TENANTS,74 READE STREET,89700.0,2,1-150-10
1-150-31,1,150,31,2017,"299 BROADWAY, L.L.C.",299 BROADWAY,713100.0,4,1-150-31
1-150-31,1,150,31,2018,"299 BROADWAY, L.L.C.",299 BROADWAY,1154300.0,4,1-150-31
1-151-20,1,151,20,2018,D. E. A. BUILDING COR,22 THOMAS STREET,377000.0,4,1-151-20
1-151-28,1,151,28,2017,317 FOOD CORP,317 BROADWAY,44700.0,4,1-151-28
1-151-28,1,151,28,2018,317 FOOD CORP,317 BROADWAY,71450.0,4,1-151-28
1-151-32,1,151,32,2017,READE BROADWAY ASSOCI,305 BROADWAY,1666550.0,4,1-151-32
1-151-32,1,151,32,2018,READE BROADWAY ASSOCI,305 BROADWAY,469000.0,4,1-151-32
1-152-1002,1,152,1002,2018,321 BROADWAY CONDOMIN,321 BROADWAY,18463.0,4,1-152-1002
1-162-18,1,162,18,2018,"EAST STONE, LLC",34 MOTT STREET,136600.0,2,1-162-18
1-162-30,1,162,30,2017,DIAMOND HORSE REALTY,9 DOYERS STREET,13150.0,4,1-162-30
1-162-37,1,162,37,2018,"9-10 CHATHAM, LLC.",10 CHATHAM SQUARE,246300.0,4,1-162-37
1-162-42,1,162,42,2018,LEAH KAPLAN,5 CHATHAM SQUARE,100420.0,4,1-162-42
1-162-58,1,162,58,2018,ABACUS FEDERAL SAVING,8 BOWERY,108200.0,4,1-162-58
1-164-17,1,164,17,2018,62 MULBERRY PARKING C,62 MULBERRY STREET,566800.0,4,1-164-17
1-164-58,1,164,58,2017,MAZET REALTY CORP,197 WORTH STREET,20350.0,4,1-164-58
1-164-58,1,164,58,2018,MAZET REALTY CORP,197 WORTH STREET,15650.0,4,1-164-58
1-170-1,1,170,1,2017,"SARANAC, LLC",336 BROADWAY,1024200.0,2,1-170-1
1-170-1,1,170,1,2018,"SARANAC, LLC",336 BROADWAY,1134150.0,2,1-170-1
1-170-20,1,170,20,2018,FC FOLEY SQUARE ASSOC,111 WORTH STREET,2026550.0,2,1-170-20
1-171-1102,1,171,1102,2018,QUE 2 LLC,354 BROADWAY,20053.0,4,1-171-1102
1-171-1203,1,171,1203,2018,THE LEONARD CONDOMINI,101 LEONARD STREET,18207.0,2,1-171-1203
1-172-1001,1,172,1001,2018,"378 BROADWAY REALTY,",376 BROADWAY,151600.0,4,1-172-1001
1-172-1002,1,172,1002,2018,MANDARIN  PLAZA CONDO,376 BROADWAY,4210.0,2,1-172-1002
1-172-1209,1,172,1209,2017,LAWRENCE DEVINE,81 WHITE STREET,60915.0,2,1-172-1209
1-172-1209,1,172,1209,2018,LAWRENCE DEVINE,81 WHITE STREET,108291.0,2,1-172-1209
1-173-31,1,173,31,2017,339 BROADWAY PROPERTI,339 BROADWAY,78600.0,4,1-173-31
1-173-31,1,173,31,2018,339 BROADWAY PROPERTI,339 BROADWAY,72750.0,4,1-173-31
1-173-1001,1,173,1001,2018,66 LEONARD RETAIL OWN,66 LEONARD STREET,47000.0,4,1-173-1001
1-173-1107,1,173,1107,2018,93 WORTH CONDOMINIUM,93 WORTH STREET,5857.0,2,1-173-1107
1-173-1201,1,173,1201,2018,"75 WORTH STREET, LLC",65 WORTH STREET,1067670.0,4,1-173-1201
1-174-23,1,174,23,2018,"FRANKLIN 81 HOLDINGS,",81 FRANKLIN STREET,359900.0,2,1-174-23
1-175-33,1,175,33,2018,"EMFT, LLC",365 BROADWAY,326800.0,2,1-175-33
1-177-5,1,177,5,2018,LEONARD ASSOCIATES,57 LEONARD STREET,95000.0,4,1-177-5
1-178-5,1,178,5,2018,104 FRANKLIN LLC,104 FRANKLIN STREET,205150.0,4,1-178-5
1-179-6,1,179,6,2018,FINE ARTS DEVELOPMENT,7 WORTH STREET,634700.0,2,1-179-6
1-179-32,1,179,32,2018,QUEENWOOD 34 LLC,176 WEST BROADWAY,1068800.0,2,1-179-32
1-179-56,1,179,56,2018,100 HUDSON TENANTS CO,100 HUDSON STREET,847450.0,2,1-179-56
1-179-66,1,179,66,2018,139-141 FRANKLIN STRE,139 FRANKLIN STREET,727150.0,4,1-179-66
1-180-1105,1,180,1105,2018,WILD PROPERTIES GROUP,67 HUDSON STREET,38354.0,4,1-180-1105
1-181-20,1,181,20,2018,JACK WEISBERG,173 FRANKLIN STREET,94600.0,4,1-181-20
1-187-16,1,187,16,2017,377 GREENWICH LLC,377 GREENWICH STREET,4020250.0,4,1-187-16
1-187-16,1,187,16,2018,377 GREENWICH LLC,377 GREENWICH STREET,3702100.0,4,1-187-16
1-187-21,1,187,21,2018,KINNEY PARKING SYSTEM,56 NORTH MOORE STREET,117400.0,4,1-187-21
1-189-1006,1,189,1006,2018,222 WEST BROADWAY OWN,220 WEST BROADWAY,484800.0,2,1-189-1006
1-189-1152,1,189,1152,2018,38-40 NORTH MOORE ST,38 NORTH MOORE STREET,31950.0,2,1-189-1152
1-189-1502,1,189,1502,2018,ONE40FRANKLIN CONDOMI,140 FRANKLIN STREET,32980.0,2,1-189-1502
1-190-1306,1,190,1306,2018,27 NORTH MOORE STREET,27 NORTH MOORE STREET,18607.0,2,1-190-1306
1-193-12,1,193,12,2018,RUE BLANC CORP.,44 WHITE STREET,234750.0,4,1-193-12
1-194-5,1,194,5,2018,52 WALKER CORP,52 WALKER STREET,298000.0,4,1-194-5
1-194-36,1,194,36,2018,411-413 BROADWAY LLC.,413 BROADWAY,771850.0,4,1-194-36
1-195-4,1,195,4,2018,"NAZWIN ASSOCIATES, IN",390 BROADWAY,502500.0,4,1-195-4
1-195-6,1,195,6,2017,394 BROADWAY GROUP LL,394 BROADWAY,260600.0,4,1-195-6
1-195-6,1,195,6,2018,394 BROADWAY GROUP LL,394 BROADWAY,591450.0,4,1-195-6
1-195-17,1,195,17,2018,"100 LAFAYETTE, LLC",91 WALKER STREET,283500.0,4,1-195-17
1-195-24,1,195,24,2018,90 WHITE STREET INC.,90 WHITE STREET,27500.0,4,1-195-24
1-195-27,1,195,27,2017,84-86 WHITE STREET LL,84 WHITE STREET,486200.0,2,1-195-27
1-195-27,1,195,27,2018,84-86 WHITE STREET LL,84 WHITE STREET,1633350.0,2,1-195-27
1-196-1,1,196,1,2018,521 BROADWAY CORP.,400 BROADWAY,759700.0,4,1-196-1
1-199-6,1,199,6,2017,HUI COMPANY,89 BAXTER STREET,138100.0,4,1-199-6
1-199-30,1,199,30,2018,TAI MING DEVELOPMENT,98 BAYARD STREET,98850.0,4,1-199-30
1-200-16,1,200,16,2018,LDLSATC REALTY CORP.,196 CANAL STREET,214650.0,4,1-200-16
