BBB,borough_code,block_number,lot_number,tax_year,owner_name,property_address,granted_reduction_amount,tax_class_code,BBB_test
1-1011-5001,1,1011,5001,2018,PARK HOUSE PARTNERS,116 CENTRAL PARK SOUT,72150.0,4,1-1011-5001
1-1011-5003,1,1011,5003,2018,116 CENTRAL PARK SOUT,116 CENTRAL PARK SOUT,16527.0,2,1-1011-5003
1-1011-6003,1,1011,6003,2018,135 WEST 58TH STREET,135 WEST 58 STREET,263650.0,2,1-1011-6003
1-1012-23,1,1012,23,2018,HESKEL'S CAPITAL LLC,215 WEST 40 STREET,614800.0,4,1-1012-23
1-1012-38,1,1012,38,2018,ROSE NEDERLANDER ASSO,208 WEST 41 STREET,72250.0,4,1-1012-38
1-1013-29,1,1013,29,2018,RXR 5TS OWNER LLC,592 7 AVENUE,14725900.0,4,1-1013-29
1-1013-1001,1,1013,1001,2018,"SJP TS, LLC",640 8 AVENUE,1361200.0,4,1-1013-1001
1-1013-1002,1,1013,1002,2018,"SJP TS, LLC",640 8 AVENUE,8649100.0,4,1-1013-1002
1-1013-9012,1,1013,9012,2017,"SUNSTONE 42ND STREET,",234 WEST 42 STREET,7232850.0,4,1-1013-9012
1-1013-9012,1,1013,9012,2018,"SUNSTONE 42ND STREET,",234 WEST 42 STREET,9646650.0,4,1-1013-9012
1-1014-55,1,1014,55,2017,250 WEST 43 OWNER LLC,250 WEST 43 STREET,4030650.0,4,1-1014-55
1-1014-55,1,1014,55,2018,250 WEST 43 OWNER LLC,250 WEST 43 STREET,4030650.0,4,1-1014-55
1-1014-58,1,1014,58,2017,THR TIMES SQUARE LLC,270 WEST 43 STREET,6642550.0,4,1-1014-58
1-1014-58,1,1014,58,2018,THR TIMES SQUARE LLC,270 WEST 43 STREET,7191100.0,4,1-1014-58
1-1015-49,1,1015,49,2018,THE SHUBERT ORGANIZAT,234 WEST 44 STREET,700150.0,4,1-1015-49
1-1015-1001,1,1015,1001,2018,"ELMWOOD NYT OWNER, LL",229 WEST 43 STREET,22120600.0,4,1-1015-1001
1-1017-4,1,1017,4,2018,BLACK POST REALTY COR,732 8 AVENUE,227370.0,4,1-1017-4
1-1018-20,1,1018,20,2017,LUNT NEDERLANDER CORP,203 WEST 46 STREET,158250.0,4,1-1018-20
1-1018-20,1,1018,20,2018,LUNT NEDERLANDER CORP,205 WEST 46 STREET,227850.0,4,1-1018-20
1-1018-55,1,1018,55,2017,"DURECA REALTY, LLC.",252 WEST 47 STREET,193890.0,2,1-1018-55
1-1018-55,1,1018,55,2018,"DURECA REALTY, LLC.",252 WEST 47 STREET,323490.0,2,1-1018-55
1-1018-57,1,1018,57,2018,NEDERLANDER AMUSEMENT,256 WEST 47 STREET,117650.0,4,1-1018-57
1-1018-61,1,1018,61,2018,NEW GOLD EQUITIES INC,760 8 AVENUE,323900.0,4,1-1018-61
1-1018-1001,1,1018,1001,2017,STARWOOD HOTELS & RES,1567 BROADWAY,6720450.0,4,1-1018-1001
1-1018-1001,1,1018,1001,2018,STARWOOD HOTELS & RES,1567 BROADWAY,11373100.0,4,1-1018-1001
1-1018-1104,1,1018,1104,2018,PLATINUM CONDOMINIUM,247 WEST 46 STREET,7422.0,2,1-1018-1104
1-1019-1,1,1019,1,2018,"BILTMORE TOWER, LLC",770 8 AVENUE,3432600.0,2,1-1019-1
1-1019-10,1,1019,10,2018,253 WEST 47TH LLC,253 WEST 47 STREET,1017650.0,4,1-1019-10
1-1019-55,1,1019,55,2017,"BWLL, LLC",234 WEST 48 STREET,2339400.0,4,1-1019-55
1-1019-55,1,1019,55,2018,"BWLL, LLC",234 WEST 48 STREET,2456400.0,4,1-1019-55
1-1019-1001,1,1019,1001,2018,SHERWOOD 48 ASSOCIATE,2 TIMES SQUARE,683750.0,4,1-1019-1001
1-1019-1002,1,1019,1002,2017,RENAISSANCE HOTEL MAN,2 TIMES SQUARE,5475850.0,4,1-1019-1002
1-1019-1002,1,1019,1002,2018,RENAISSANCE HOTEL MAN,2 TIMES SQUARE,6450100.0,4,1-1019-1002
1-1020-1102,1,1020,1102,2017,SHERWOOD 1600 ASSOCIA,1600 BROADWAY,2243350.0,4,1-1020-1102
1-1020-1102,1,1020,1102,2018,SHERWOOD 1600 ASSOCIA,1600 BROADWAY,3135600.0,4,1-1020-1102
1-1020-1103,1,1020,1103,2017,1600 BROADWAY ON THE,1600 BROADWAY,19372.0,2,1-1020-1103
1-1020-1103,1,1020,1103,2018,1600 BROADWAY ON THE,1600 BROADWAY,39786.0,2,1-1020-1103
1-1021-1,1,1021,1,2018,ASN 50TH STREET LLC,250 WEST 50 STREET,5101400.0,2,1-1021-1
1-1021-36,1,1021,36,2018,750 SEVENTH AVE NY LL,758 7 AVENUE,298100.0,4,1-1021-36
1-1022-43,1,1022,43,2017,PGREF I 1633 BROADWAY,1631 BROADWAY,13749000.0,4,1-1022-43
1-1022-43,1,1022,43,2018,PGREF I 1633 BROADWAY,1631 BROADWAY,8761500.0,4,1-1022-43
1-1022-61,1,1022,61,2018,FIFTY FIRST-CAPITOL A,834 8 AVENUE,1965750.0,2,1-1022-61
1-1022-101,1,1022,101,2018,PARAMOUNT BEAUTY 50TH,249 WEST 50 STREET,559800.0,4,1-1022-101
1-1023-6,1,1023,6,2017,245 WEST 51ST STREET,245 WEST 51 STREET,280750.0,2,1-1023-6
1-1023-6,1,1023,6,2018,245 WEST 51ST STREET,245 WEST 51 STREET,709650.0,2,1-1023-6
1-1023-53,1,1023,53,2018,"240 WEST 52ND STREET,",240 WEST 52 STREET,454550.0,4,1-1023-53
1-1023-54,1,1023,54,2018,ALVIN NEDERLANDER ASS,244 WEST 52 STREET,77650.0,4,1-1023-54
1-1023-61,1,1023,61,2018,ROSLINGATE COMPANY,260 WEST 52 STREET,1888550.0,2,1-1023-61
1-1024-29,1,1024,29,2017,TYDEL HOLDING CORP.,800 7 AVENUE,658200.0,4,1-1024-29
1-1024-29,1,1024,29,2018,TYDEL HOLDING CORP.,800 7 AVENUE,882750.0,4,1-1024-29
1-1024-131,1,1024,131,2018,METROPOLITAN 810 7TH,1672 BROADWAY,582400.0,4,1-1024-131
1-1025-50,1,1025,50,2018,236 WEST 54 STREET LL,236 WEST 54 STREET,216750.0,4,1-1025-50
1-1025-1001,1,1025,1001,2018,ACADIA WEST 54TH STRE,828 7 AVENUE,3098970.0,4,1-1025-1001
1-1025-1013,1,1025,1013,2017,THE 200 WEST 54TH STR,828 7 AVENUE,48293.0,4,1-1025-1013
1-1025-1015,1,1025,1015,2017,THE 200 WEST 54TH STR,828 7 AVENUE,32328.0,4,1-1025-1015
1-1025-1017,1,1025,1017,2017,THE 200 WEST 54TH STR,828 7 AVENUE,31693.0,4,1-1025-1017
1-1025-1201,1,1025,1201,2017,THE MARC CONDOMINIUM,890 8 AVENUE,1080170.0,4,1-1025-1201
1-1025-1201,1,1025,1201,2018,THE MARC CONDOMINIUM,890 8 AVENUE,1477770.0,4,1-1025-1201
1-1026-9,1,1026,9,2018,CHAI LLC,241 WEST 54 STREET,150150.0,2,1-1026-9
1-1026-12,1,1026,12,2018,"237 WEST 54 OWNER, L.",237 WEST 54 STREET,9642250.0,4,1-1026-12
1-1026-1002,1,1026,1002,2018,GRANITE 230 RETAIL LL,230 WEST 55 STREET,173450.0,4,1-1026-1002
1-1026-1003,1,1026,1003,2018,GRANITE 230 RESIDENTI,230 WEST 55 STREET,2922000.0,2,1-1026-1003
1-1026-1101,1,1026,1101,2018,GRANITE 1717 HOTEL LL,1717 BROADWAY,8607200.0,4,1-1026-1101
1-1027-57,1,1027,57,2018,236 WEST 56TH STREET,236 WEST 56 STREET,245350.0,4,1-1027-57
